# Security Tools and Utilities
# Format: category,tool_name,description,common_usage,url

# Reconnaissance Tools
OSINT,OSINT Framework,Collection of OSINT tools categorized by function,Comprehensive open source intelligence gathering,https://osintframework.com
OSINT,Shodan,Search engine for Internet-connected devices,Discovering exposed devices identifying vulnerabilities and gathering intelligence,https://www.shodan.io
OSINT,Censys,Search engine for Internet-connected devices,Discovering exposed devices identifying vulnerabilities and gathering intelligence,https://censys.io
OSINT,Metagoofil,Metadata extraction tool,Extracting metadata from public documents,https://github.com/laramies/metagoofil
OSINT,FOCA,Tool to find metadata and hidden information in documents,Document metadata analysis and information leakage detection,https://github.com/ElevenPaths/FOCA
OSINT,Amass,Network mapping of attack surfaces and external asset discovery,Subdomain enumeration DNS analysis and asset discovery,https://github.com/OWASP/Amass
OSINT,Sublist3r,Fast subdomain enumeration tool,Subdomain discovery using various search engines and sources,https://github.com/aboul3la/Sublist3r
OSINT,Photon,Fast web crawler designed for OSINT,Web content discovery and information gathering,https://github.com/s0md3v/Photon
OSINT,Spyse,Internet assets search engine,Discovering internet assets and gathering intelligence,https://spyse.com
OSINT,SecurityTrails,Historical DNS data and domain intelligence platform,DNS history analysis subdomain discovery and security intelligence,https://securitytrails.com
OSINT,Creepy,Geolocation OSINT tool,Gathering geolocation information from social networks,https://github.com/ilektrojohn/creepy
OSINT,Twint,Twitter scraping tool,Advanced Twitter scraping without API limitations,https://github.com/twintproject/twint
OSINT,Sherlock,Hunt down social media accounts by username,Username enumeration across social networks,https://github.com/sherlock-project/sherlock
OSINT,Instaloader,Instagram scraping tool,Downloading Instagram profiles posts hashtags and more,https://github.com/instaloader/instaloader
OSINT,OSRFramework,Set of tools for OSINT,Username checking profile gathering and information analysis,https://github.com/i3visio/osrframework
OSINT,Datasploit,OSINT Framework to perform various recon techniques,Automated OSINT on usernames domains email addresses and more,https://github.com/DataSploit/datasploit

# Mobile Security Tools
Mobile,MobSF,Mobile Security Framework,Automated mobile application security assessment,https://github.com/MobSF/Mobile-Security-Framework-MobSF
Mobile,Drozer,Android security assessment framework,Identifying security vulnerabilities in Android apps,https://github.com/FSecureLABS/drozer
Mobile,Frida,Dynamic instrumentation toolkit,Runtime code manipulation and hooking for mobile apps,https://frida.re
Mobile,Objection,Mobile exploration toolkit,Runtime mobile app security assessment,https://github.com/sensepost/objection
Mobile,Apktool,Tool for reverse engineering Android APK files,Decompiling and rebuilding Android applications,https://ibotpeaches.github.io/Apktool
Mobile,dex2jar,Tools to work with Android .dex and Java .class files,Converting Android DEX files to Java JAR files,https://github.com/pxb1988/dex2jar
Mobile,JD-GUI,Java decompiler GUI,Decompiling Java class files to source code,https://java-decompiler.github.io
Mobile,Jadx,Dex to Java decompiler,Producing Java source code from Android DEX and APK files,https://github.com/skylot/jadx
Mobile,Needle,iOS security testing framework,Security assessment of iOS applications,https://github.com/FSecureLABS/needle
Mobile,idb,iOS security testing tool,Simplified interface for common iOS security testing tasks,https://github.com/dmayer/idb
Mobile,Clutch,iOS application cracking tool,Decrypting iOS applications for analysis,https://github.com/KJCracks/Clutch
Mobile,Cycript,Explore and modify running applications on iOS,Runtime manipulation of iOS applications,https://cycript.org
Mobile,Hopper,Disassembler for iOS and macOS,Reverse engineering iOS applications,https://www.hopperapp.com
Mobile,Cydia Impactor,GUI tool for installing IPA files,Sideloading iOS applications for testing,https://cydiaimpactor.online
Mobile,APKiD,Android Application Identifier,Identifying packers protectors obfuscators and compilers,https://github.com/rednaga/APKiD
Mobile,QARK,Quick Android Review Kit,Android application vulnerability scanner,https://github.com/linkedin/qark
Mobile,AndroBugs,Android vulnerability scanner,Finding potential security vulnerabilities in Android apps,https://github.com/AndroBugs/AndroBugs_Framework
Mobile,Inspeckage,Android application inspection tool,Dynamic analysis of Android applications,https://github.com/ac-pm/Inspeckage
Mobile,Androl4b,Android security virtual machine,Virtual environment for Android application security assessment,https://github.com/sh4hin/Androl4b
Mobile,Appmon,Runtime security assessment and monitoring framework,Monitoring and manipulating system API calls of mobile apps,https://github.com/dpnishant/appmon

# IoT Security Tools
IoT,Shodan,Search engine for Internet-connected devices,Discovering exposed IoT devices identifying vulnerabilities and gathering intelligence,https://www.shodan.io
IoT,Censys,Search engine for Internet-connected devices,Discovering exposed IoT devices identifying vulnerabilities and gathering intelligence,https://censys.io
IoT,Firmwalker,Firmware analysis tool,Searching for sensitive information in firmware,https://github.com/craigz28/firmwalker
IoT,Firmadyne,Firmware analysis framework,Emulating and analyzing firmware for Linux-based IoT devices,https://github.com/firmadyne/firmadyne
IoT,Binwalk,Firmware analysis tool,Extracting and analyzing embedded files and executable code,https://github.com/ReFirmLabs/binwalk
IoT,Flashrom,Utility for reading writing and erasing flash chips,Firmware extraction and modification,https://www.flashrom.org
IoT,Routersploit,Exploitation framework for embedded devices,Router and IoT device exploitation,https://github.com/threat9/routersploit
IoT,UART Tool,Tool for identifying and connecting to UART interfaces,Hardware debugging and firmware extraction,https://github.com/sensepost/USaBUSe
IoT,Attify OS,Operating system for IoT security testing,Comprehensive environment for IoT security assessment,https://github.com/adi0x90/attifyos
IoT,IoTSeeker,Tool to discover and check default credentials of IoT devices,Identifying vulnerable IoT devices with default credentials,https://github.com/rapid7/IoTSeeker
IoT,PRET,Printer Exploitation Toolkit,Printer security testing and exploitation,https://github.com/RUB-NDS/PRET
IoT,Z3sec,Zigbee security testing framework,Security assessment of Zigbee networks,https://github.com/IoTsec/Z3sec
IoT,KillerBee,Framework for Zigbee security assessment,Testing security of Zigbee and IEEE 802.15.4 networks,https://github.com/riverloopsec/killerbee
IoT,Bluelog,Bluetooth scanner and logger,Bluetooth device discovery and monitoring,https://github.com/MS3FGX/Bluelog
IoT,Bluesnarfer,Bluetooth information disclosure tool,Extracting information from Bluetooth devices,https://tools.kali.org/wireless-attacks/bluesnarfer
IoT,Spooftooph,Bluetooth spoofing utility,Cloning and spoofing Bluetooth device information,https://tools.kali.org/wireless-attacks/spooftooph
IoT,RFCrack,Software defined radio attack tool,Testing security of radio frequency protocols,https://github.com/cclabsInc/RFCrack
IoT,HackRF,Software defined radio platform,Radio frequency analysis and transmission,https://github.com/mossmann/hackrf
IoT,Firmalyzer,Firmware vulnerability scanner,Automated security analysis of firmware,https://github.com/cruise-automation/fwanalyzer
IoT,IoT Inspector,Automated IoT device analysis platform,Security analysis of IoT devices and firmware,https://www.iot-inspector.com
