# Common Attack Techniques and Methods
# Format: category,attack_name,description,impact,mitigations

# Reconnaissance Attacks
Cloud,Insecure Interfaces and APIs,Exploiting vulnerabilities in management interfaces and APIs,Can lead to unauthorized access configuration changes and data theft,Implement proper authentication and authorization. Keep interfaces updated. Monitor for unusual access patterns.
Cloud,Misconfiguration,Incorrectly configuring cloud resources leading to security vulnerabilities,Can lead to data exposure unauthorized access and service disruption,Use cloud security posture management tools. Implement infrastructure as code with security checks. Conduct regular security assessments.
Cloud,Insufficient Identity and Access Management,Weak IAM configuration allowing unauthorized access,Can lead to privilege escalation data theft and unauthorized resource access,Implement principle of least privilege. Use role-based access control. Regularly audit access permissions. Implement proper user lifecycle management.

# Mobile Security Attacks
Mobile,Malicious Apps,Applications designed to steal data or perform other malicious actions,Can lead to data theft privacy violations and financial fraud,Use official app stores. Implement mobile device management. Keep devices updated. Train users on mobile security.
Mobile,Unsecured Wi-Fi,Connecting to untrusted wireless networks,Can lead to traffic interception data theft and man-in-the-middle attacks,Use VPNs for sensitive communications. Avoid connecting to untrusted networks. Keep wireless capabilities disabled when not in use.
Mobile,Phishing Attacks,Tricking users into revealing sensitive information or installing malware,Can lead to credential theft malware installation and account compromise,Train users on security awareness. Implement anti-phishing measures. Use mobile threat defense solutions.
Mobile,OS Exploitation,Exploiting vulnerabilities in mobile operating systems,Can lead to privilege escalation data theft and device compromise,Keep devices updated. Use mobile device management. Implement endpoint protection for mobile devices.
Mobile,Data Leakage,Unintentional disclosure of sensitive data through mobile apps,Can lead to sensitive data exposure privacy violations and intellectual property loss,Implement data loss prevention. Use app vetting processes. Train users on data handling policies.
Mobile,Jailbreaking/Rooting,Removing software restrictions on mobile devices,Can lead to bypassing security controls malware installation and data theft,Implement jailbreak/root detection. Use mobile device management to enforce security policies. Restrict access to corporate resources from compromised devices.
Mobile,Insecure Data Storage,Storing sensitive data insecurely on mobile devices,Can lead to data theft if the device is lost stolen or compromised,Encrypt sensitive data. Use secure storage APIs. Avoid storing sensitive data when possible. Implement remote wipe capabilities.
Mobile,Man-in-the-Middle Attacks,Intercepting and potentially altering mobile communications,Can lead to data theft credential theft and session hijacking,Use certificate pinning. Implement proper TLS validation. Use VPNs for sensitive communications.
Mobile,SMS-based Attacks,Exploiting SMS functionality for phishing or other attacks,Can lead to phishing malware installation and financial fraud,Train users on security awareness. Implement multi-factor authentication that doesn't rely solely on SMS. Use mobile threat defense solutions.
Mobile,Bluetooth Vulnerabilities,Exploiting vulnerabilities in Bluetooth implementations,Can lead to unauthorized device access data theft and eavesdropping,Keep Bluetooth firmware updated. Use Bluetooth only when needed. Set devices to non-discoverable mode when not in use.

# Supply Chain Attacks
Supply,Software Supply Chain Attacks,Compromising software development or distribution processes,Can lead to widespread compromise affecting all users of the compromised software,Verify software integrity. Use trusted suppliers. Implement proper vendor management. Conduct security assessments of critical vendors.
Supply,Hardware Supply Chain Attacks,Introducing malicious components or modifications during hardware manufacturing,Can lead to persistent backdoors data theft and system compromise,Use trusted hardware suppliers. Implement hardware verification processes. Consider supply chain transparency requirements.
Supply,Third-Party Service Provider Attacks,Compromising service providers to gain access to their customers,Can lead to unauthorized access through trusted channels bypassing many security controls,Implement proper vendor security assessments. Use contractual security requirements. Monitor third-party access and activities.
Supply,Open Source Component Attacks,Introducing vulnerabilities or malicious code into open source components,Can lead to widespread vulnerabilities affecting all projects using the compromised components,Verify component integrity. Monitor for security advisories. Implement software composition analysis. Keep components updated.
Supply,Counterfeit Components,Using fake or substandard components that may contain malicious functionality,Can lead to security vulnerabilities reliability issues and potential backdoors,Use authorized suppliers. Implement component verification processes. Consider anti-counterfeit measures.
Supply,Update Infrastructure Attacks,Compromising software update mechanisms to distribute malware,Can lead to malware distribution through trusted update channels bypassing many security controls,Verify update integrity. Use signed updates. Implement proper update infrastructure security. Monitor for unusual update behavior.
Supply,Development Tool Attacks,Compromising development tools to inject malicious code during development,Can lead to malicious code insertion that is difficult to detect and affects all developed software,Use trusted development tools. Verify tool integrity. Implement proper development environment security. Conduct code reviews and security testing.
Supply,Dependency Confusion,Exploiting package management systems to deliver malicious packages,Can lead to malicious code execution during build processes affecting all built software,Use private repositories. Implement package pinning. Verify package integrity. Implement proper build security controls.
Supply,CI/CD Pipeline Attacks,Compromising continuous integration/continuous deployment pipelines,Can lead to malicious code insertion during automated build and deployment processes,Secure CI/CD environments. Implement proper access controls. Verify build integrity. Conduct security testing as part of the pipeline.
Supply,Vendor Remote Access Attacks,Exploiting vendor remote access to customer environments,Can lead to unauthorized access through trusted channels bypassing many security controls,Implement proper vendor access controls. Monitor vendor activities. Limit vendor access scope and duration. Use just-in-time access provisioning.
